location_num,x,y,district,province,images,year,month,day,avg_certainty,avg_percent_coverage,avg_percent_coverage_high,n_labelers,water_source_mode,log_coverage
5156311,27.691166329444805,-14.732088842973138,Chibombo,Central,3,2023,9,24,4.666666666666667,0.027959987264155634,0.0204751845241886,1,FALSE,0.0275762433806676
5156389,28.424957299246,-14.728735100501805,Chisamba,Central,4,2021,6,12,4.25,0.2717662599095385,0.2539860141609524,1,FALSE,0.24040669009962012
5156997,27.273144140077587,-14.75104217928154,Chibombo,Central,2,2024,6,5,1.5,0.0118415414365664,0,1,FALSE,0.01177197899727121
5157121,28.44365066446823,-14.746697124851869,Chisamba,Central,4,2021,6,12,1,0,0,1,TRUE,0
5157786,28.053614715039146,-14.766883319700607,Chibombo,Central,1,2016,8,12,5,0.1970918838242466,0.1821522447578986,1,FALSE,0.1798951853877368
5157787,28.0629048093993,-14.766840757060304,Chibombo,Central,1,2016,8,12,2,0.0457537552570812,0,1,FALSE,0.04473792230391802
5158004,25.34065501298772,-14.772364292343765,Nkeyema,Western,1,2023,9,1,5,0.0459311933418817,0.0396910632220101,1,TRUE,0.044907582735184186
5158197,28.648177653208784,-14.772444286656391,Chisamba,Central,3,2023,9,16,2,0.009146416054102267,0.007977679441156934,1,FALSE,0.009104840907555542
5158375,27.161679467021266,-14.787312495550331,Mumbwa,Central,1,2019,8,2,2,0.0382489786862517,0,1,TRUE,0.03753561984054804
5158886,21.91811279370516,-14.749444098766526,NA,NA,1,2023,8,30,3,1.8055322302702128,0,1,TRUE,1.0315932643874959
5159086,27.477660392220955,-14.804956925343737,Chibombo,Central,2,2018,8,29,1.5,0.00630469746817125,0,1,TRUE,0.006284906005652177
5159743,27.41264341310963,-14.823164847480404,Chibombo,Central,1,2017,9,12,1,0,0,1,FALSE,0
5160031,26.95723450826635,-14.832572062172712,Mumbwa,Central,1,2019,7,27,2,0.2594019273764094,0,1,FALSE,0.23063694746390956
5160038,27.124535164552352,-14.832542333349478,Mumbwa,Central,2,2023,9,9,1,0,0,1,FALSE,0
5160436,27.579978611093985,-14.84088600200679,Chibombo,Central,2,2018,8,29,1,0,0,1,FALSE,0
5161146,27.682272285390507,-14.8586868268174,Chibombo,Central,3,2023,9,24,3,0.036060408244098965,0.036060408244098965,1,FALSE,0.03542545125330654
5161220,28.41649095148745,-14.855332685740033,Chisamba,Central,5,2019,10,16,1,0,0,1,FALSE,0
5161250,28.695249863533306,-14.853444654715426,Chisamba,Central,2,2023,10,12,1,0,0,1,FALSE,0
5161599,28.58381694770717,-14.863278286633443,Chisamba,Central,7,2023,9,16,3.2857142857142856,0.024923784706891827,0.01831587486333946,1,TRUE,0.024618253442278405
5161773,25.33060529907417,-14.871709965825554,Nkeyema,Western,2,2023,9,1,1,0,0,1,FALSE,0
5161844,27.37556163281841,-14.877475389792156,Chibombo,Central,1,2017,9,12,1,0,0,1,FALSE,0
5162183,27.03159828536337,-14.886821895795425,Mumbwa,Central,1,2019,7,27,1,0,0,1,FALSE,0
5162622,27.5057495212704,-14.89530738517688,Chibombo,Central,2,2018,8,29,4,0.7165847259772151,0.1328334769913238,1,TRUE,0.5403366924278487
5162701,28.25872082764209,-14.892409057556012,Chisamba,Central,3,2020,6,6,1,0,0,1,FALSE,0
5162709,28.351666912137325,-14.891879783359554,Chisamba,Central,4,2020,6,6,1,0,0,1,FALSE,0
5162988,27.180361934783424,-14.904835688585404,Mumbwa,Central,1,2024,6,5,5,0.1977623027888541,0.1977623027888541,1,TRUE,0.1804550683116058
5163169,22.258257804246096,-14.86485989757525,Sikongo,Western,1,2023,9,7,1,0,0,1,FALSE,0
5163304,25.163047474943923,-14.906578821947512,Nkeyema,Western,2,2019,9,29,1,0,0,1,FALSE,0
5163440,27.79400864767703,-14.912571131207455,Chibombo,Central,2,2023,9,24,1,0,0,1,TRUE,0
5163512,28.49120322886678,-14.90909171253439,Chisamba,Central,6,2020,6,19,1,0,0,1,FALSE,0
5163870,28.333244920123207,-14.91910517599202,Chisamba,Central,2,2020,6,6,1,0,0,1,FALSE,0
5164842,27.608165945330697,-14.949303580801317,Chibombo,Central,1,2018,8,29,1,0,0,1,FALSE,0
5165408,24.865168845166785,-14.95821008853554,Nkeyema,Western,3,2023,9,1,1,0,0,1,FALSE,0
5165833,26.724689666536065,-14.977070725079926,Mumbwa,Central,3,2023,10,26,1,0,0,1,FALSE,0
5166040,22.571827269267697,-14.943277616509658,Sikongo,Western,2,2023,8,27,4.5,0.2013228730479076,0.2013228730479076,1,TRUE,0.18342334381025202
5166393,28.77990990854552,-14.97932909002118,Chisamba,Central,1,2023,10,12,1,0,0,1,FALSE,0
5166537,25.30180622493279,-14.988990259920474,Nkeyema,Western,1,2023,9,4,1,0,0,1,TRUE,0
5166557,26.60374960237223,-14.99497476763463,Mumbwa,Central,1,2023,9,6,2,0.014081511632868,0,1,FALSE,0.013983288163900006
5166788,22.432389698898145,-14.958560184402792,Sikongo,Western,1,2023,9,4,1,0,0,1,TRUE,0
5167161,22.3487686100755,-14.965883682021152,Sikongo,Western,1,2023,8,27,1,0,0,1,TRUE,0
5167340,26.98510552084551,-15.013401338520003,Mumbwa,Central,2,2017,8,24,4,0.13202306457651,0.12309769464816445,1,TRUE,0.12400635464101066
5167586,24.372049381288026,-15.007262456894065,Luampa,Western,1,2020,9,20,1,0,0,1,FALSE,0
5167776,27.878122436163405,-15.020747909862404,Chibombo,Central,1,2023,10,7,5,0.013478823640258,0.013478823640258,1,FALSE,0.013388792404759757
5167839,28.65003451668899,-15.016458005699194,Chisamba,Central,2,2023,9,16,2,0.12382345366027375,0,1,TRUE,0.11673666943749725
5168346,26.687395420902995,-15.040310386969027,Mumbwa,Central,2,2023,9,6,1,0,0,1,FALSE,0
5168763,27.34794992992986,-15.049300052880994,Mumbwa,Central,1,2020,9,22,1,0,0,1,FALSE,0
5168839,28.3247272615284,-15.045702533319847,Chisamba,Central,4,2017,10,20,1,0,0,1,FALSE,0
5168913,22.48687764885094,-15.013746843432047,Kalabo,Western,1,2023,9,4,1,0,0,1,FALSE,0
5169448,26.966492534440626,-15.06764652982142,Mumbwa,Central,1,2017,8,24,1,0,0,1,FALSE,0
5169677,22.76477525100872,-15.037139415842413,Kalabo,Western,3,2023,9,9,3,0.1706206643603958,0.0836063313181313,1,TRUE,0.1575340905129521
5169827,27.022321140869323,-15.076689077180122,Mumbwa,Central,1,2017,8,24,1,0,0,1,TRUE,0
5169912,28.09232556314412,-15.074058624490409,Chibombo,Central,3,2018,10,14,1,0,0,1,FALSE,0
5170792,23.460474971157723,-15.076142151921047,Limulunga,Western,1,2019,7,10,1,0,0,1,FALSE,0
5170828,23.94353457754972,-15.083178778496135,Luampa,Western,1,2018,7,4,1,0,0,1,FALSE,0
5170886,26.677996969675203,-15.103584591199205,Mumbwa,Central,2,2023,7,13,1,0,0,1,TRUE,0
5171013,28.24132984748657,-15.100409672536964,Chibombo,Central,4,2017,10,20,5,0.25042459318321736,0.24055349535091622,1,FALSE,0.22348316818444527
